day,date,quantity,cumulative
246,7/8/2021,3,631
247,7/9/2021,3,634
248,7/10/2021,3,637
249,7/11/2021,3,640
250,7/12/2021,3,643
251,7/13/2021,3,646
252,7/14/2021,3,649
253,7/15/2021,3,652
254,7/16/2021,3,655
255,7/17/2021,3,658
256,7/18/2021,3,661
257,7/19/2021,3,664
258,7/20/2021,3,667
259,7/21/2021,3,670
260,7/22/2021,2,672
261,7/23/2021,3,675
262,7/24/2021,3,678
263,7/25/2021,3,681
264,7/26/2021,3,684
265,7/27/2021,2,686
266,7/28/2021,2,688
267,7/29/2021,2,690
268,7/30/2021,2,692
269,7/31/2021,1,693
270,8/1/2021,2,695
271,8/2/2021,2,697
272,8/3/2021,2,699
273,8/4/2021,2,701
274,8/5/2021,2,703
275,8/6/2021,2,705
276,8/7/2021,2,707
277,8/8/2021,2,709
278,8/9/2021,1,710
279,8/10/2021,2,712
280,8/11/2021,1,713
281,8/12/2021,1,714
282,8/13/2021,1,715
283,8/14/2021,1,716
284,8/15/2021,1,717
285,8/16/2021,1,718
286,8/17/2021,1,719
287,8/18/2021,1,720
288,8/19/2021,1,721
289,8/20/2021,1,722
290,8/21/2021,1,723
291,8/22/2021,1,724
292,8/23/2021,1,725
293,8/24/2021,1,726
294,8/25/2021,1,727
295,8/26/2021,1,728
296,8/27/2021,1,729
297,8/28/2021,1,730
298,8/29/2021,1,731
299,8/30/2021,1,732
300,8/31/2021,1,733
301,9/1/2021,1,734
302,9/2/2021,1,735
303,9/3/2021,1,736
304,9/4/2021,1,737
305,9/5/2021,1,738
306,9/6/2021,1,739
307,9/7/2021,1,740
308,9/8/2021,1,741
309,9/9/2021,1,742
310,9/10/2021,1,743
311,9/11/2021,1,744
312,9/12/2021,1,745
313,9/13/2021,1,746
314,9/14/2021,1,747
315,9/15/2021,1,748
316,9/16/2021,0,748
317,9/17/2021,0,748
318,9/18/2021,0,748
319,9/19/2021,0,748
320,9/20/2021,0,748
321,9/21/2021,0,748
322,9/22/2021,0,748
323,9/23/2021,0,748
324,9/24/2021,0,748
325,9/25/2021,0,748
326,9/26/2021,0,748
327,9/27/2021,0,748
328,9/28/2021,0,748
329,9/29/2021,0,748
330,9/30/2021,0,748
331,10/1/2021,0,748
332,10/2/2021,0,748
333,10/3/2021,0,748
334,10/4/2021,0,748
335,10/5/2021,0,748
336,10/6/2021,0,748
337,10/7/2021,0,748
338,10/8/2021,0,748
339,10/9/2021,0,748
340,10/10/2021,0,748
341,10/11/2021,0,748
342,10/12/2021,0,748
343,10/13/2021,0,748
344,10/14/2021,0,748
345,10/15/2021,0,748
346,10/16/2021,0,748
347,10/17/2021,0,748
348,10/18/2021,0,748
349,10/19/2021,0,748
350,10/20/2021,0,748
351,10/21/2021,0,748
352,10/22/2021,0,748
353,10/23/2021,0,748
354,10/24/2021,0,748
355,10/25/2021,0,748
356,10/26/2021,0,748
357,10/27/2021,0,748
358,10/28/2021,0,748
359,10/29/2021,0,748
360,10/30/2021,0,748
361,10/31/2021,0,748
362,11/1/2021,0,748
363,11/2/2021,0,748
364,11/3/2021,0,748
365,11/4/2021,0,748
366,11/5/2021,0,748
367,11/6/2021,0,748
368,11/7/2021,0,748
369,11/8/2021,0,748
370,11/9/2021,0,748
371,11/10/2021,0,748
372,11/11/2021,0,748
373,11/12/2021,0,748
374,11/13/2021,0,748
375,11/14/2021,0,748
376,11/15/2021,0,748
377,11/16/2021,0,748
378,11/17/2021,0,748
379,11/18/2021,0,748
380,11/19/2021,0,748
381,11/20/2021,0,748
382,11/21/2021,0,748
383,11/22/2021,0,748
384,11/23/2021,0,748
385,11/24/2021,0,748
386,11/25/2021,0,748
387,11/26/2021,0,748
388,11/27/2021,0,748
389,11/28/2021,0,748
390,11/29/2021,0,748
391,11/30/2021,0,748
392,12/1/2021,0,748
393,12/2/2021,0,748
394,12/3/2021,0,748
395,12/4/2021,0,748
396,12/5/2021,0,748
397,12/6/2021,0,748
398,12/7/2021,0,748
399,12/8/2021,0,748
400,12/9/2021,0,748
401,12/10/2021,0,748
402,12/11/2021,0,748
403,12/12/2021,0,748
404,12/13/2021,0,748
405,12/14/2021,0,748
406,12/15/2021,0,748
407,12/16/2021,0,748
408,12/17/2021,0,748
409,12/18/2021,0,748
410,12/19/2021,0,748
411,12/20/2021,0,748
412,12/21/2021,0,748
413,12/22/2021,0,748
414,12/23/2021,0,748
415,12/24/2021,0,748
416,12/25/2021,0,748
417,12/26/2021,0,748
418,12/27/2021,0,748
419,12/28/2021,0,748
420,12/29/2021,0,748
421,12/30/2021,0,748
422,12/31/2021,0,748
423,1/1/2022,0,748
424,1/2/2022,0,748
425,1/3/2022,0,748
426,1/4/2022,0,748
